 Updated to 1 Star on 12/08. DO NOT BUY. Old-Spectacular! Mind-blowing experience,"Well, i may have over stepped my joy and ignored few key concerns when I wrote the first review. I have now reduced the rating to 1 Star, after encountering a few basic things that these Ultras miserably fail at.
1. When you insert these buds into your ears, randomly either one of them will not connect! Has happened many-many times. Beyond frustrating; you need to put the buds back in the case, and sit and hope that the problem is solved. A 1000rs earbuds which i have from Tozo , seamlessly connects with my phone!

2.when you use multi point connection with a laptop , even after u keep the earbuds back in the case, the connection with laptop cannot be disconnected!!! I use ‘forget device’ option on the laptop .. each time i need to disconnect. Again, these things are basics 101!! I have the Buds Live and multi point works so intuitively on that.

The sound quality is sublime 10/10
ANC is 8/10 - removed 2 point2 due to ‘white noise’
Connectivity: 1/10

Honestly, id be better off with AirPods 2 Pro or Sony XM5s . Don’t buy the Ultras right now , wait and research if Bose has fixed and then decide.

Extremely disappointed, definitely avoid until Bose does the right thing and corrects the basics, Ultra name is a joke.
Just a few firmware updates should be able to fix and hope Bose does that and soon, as this is a global issue.

Old review:
This is my first purchase of a premium segment earbuds, and i am absolutely mind blown!! The Sound quality is something you need to hear to believe.

And ANC? What Bose has done with ANC is scary! The earbuds with full ANC on would make you feel that you are ‘alone’ , even if you are at a busy, noisy office. My focus has a new aid! Pure wizardry.
With the new Firmware update, Bose has enabled multiple connectivity. But the implementation is poor, has a few minor bugs and must be fixed with a next update, but not a deal breaker for me.

Don’t get carried away with lower ratings, if Top class Sound and ANC is your priority, then close your eyes and purchase, nothing else comes close.
I bought this over the Bose Ultra Headphones due to convenience, I don’t regret one bit.",1.0 out of 5 stars
 Worst earphones...,"Bose is very famous for sound quality. It does not mean that it should not concentrate on call quality which will be heard by the other side. WORST WORST mic quality and it picks ambient sound and amplifies to the other side. Even at pin drop silent in my room, it picks and amplifies the fan sound to the other side. All these happening in Noise cancelation mode.....

Then I consulted their main service centre in Mumbai. It was cherry on top. Their service and attitude are worser than their products....totally pathetic experience.

DONT GO FOR THIS PRODUCT",1.0 out of 5 stars
Please don't buy it ,"Good ANC active noise cancellation, good for hearing or watching movies etc.but...................
But
But

When you come to the reality you will face 1 major problem that is for making call, the opposite person will hear lot and lot of disturbance which will case the other person very very deficult, please don't buy it if you are going to make lots of call with this, service is also bad they didn't even check and send me back and telling me that is no problem, I told them you customer service centre person was the another person to be victim, after taking to the custom support they told me please take off this boss head set and talk to me, I told them I want my refund indont want this this product is defective but they told me this option is not available.

so it's your choice, you want to buy it or 🚫

My suggestion please don't buy this go for Sennheiser or Jabra",
,"I have been an Amazon Prime member for years now but the recent purchase made me realize the recent evolutions in product support policies especially for a niche item such as Bose Top End Earbuds has reduced the experience and platform is a pure marketplace. The Bose Ultra Quiet Comfort earbuds have been problematic since day one. Frequent Blue Tooth Connectivity Drops, Re Connection difficulties, Erratic Battery Back up and Low Call Volume level means the product is useless on both counts music and calls. Now I have had a quiet comfort classic model for years now so having such a product quality is a big let down. Now invoking my Amazon Prime Status was easier said than done as I has greeted with a wry monotone of visting the service center for a 2 day old product. While the agent was courteous but clealy they have been provided zero fleaxibility to treat the discerning customers differently. I do hope the Amazon Customer Support team will review this review and fix it one way or the other.",
,"I didn’t expect Amazon to wash their hand off after sending a defective product. I received my Boss ear buds and was super excited to try it. After pairing the buds, I realized one side is not working at all. When I called Amazon customer care. They did not replace the item but told me to contact Bose customer support which is not very convenient. Bose customer support helped with the pick up of the product and sent me a message that they have begun the repair of the device. Why would I pay such a huge amount for the device and then go for a repaired product. Now I’m wasting my weekends calling Amazon and Bose to follow up on the defective product. Wish u luck if you are buying the same product.",
,"Absolutely run for your life if someone suggests you buying this earbuds. Worst product and lately bose has lost ethics. Just to stay in the market and compete with apple they have introduced this product but its long way out competing with apple. Mic quality is at its worst and keeps disconnecting sometimes if you move your head. I took my earbud to service centre as no one hear me clearly when I use this earbuds for making phone calls. Technician said its the default quality of mic and should not expect more. Why would bose release such a crap product when their competitors are selling better earbuds for 1/10th price. Please help yourself by buying apple earbuds or any other earbud for that matter and save yourself some regret. Zero value for money, Fit is average, Appearance is very bulky and Stability is average.",
,"This model has a built-in problem, that the left earbud will produce a mosquito-like noise which is super annoying. also the audio flickers sometimes, you must prove it to the service center.
This item is not replaceable on Amazon, you should take this to the service center on your own.
but the service center guy will simply tell you like ""No I cannot hear any noise like that""
Amazon will simply abandon you by saying ""We cannot do anything from our side"".
I read the discussions on Reddit that many customers have this left earbud noise issue,
If this product has a design issue then why bose is selling it to the customers?
already I have quite comfort headphones and Bluetooth speakers.
for a regular customer like me, this is unacceptable.",
,"The product didn't work out of the box. The left ear bud didn't connect in the first place. Once it did, it was having poor audio quality and constant dropping of audio connection.

Took it to the customer service centre in Delhi and they asked to leave the product for their ""inspection"". It's been 4 days now and neither does the service centre answer emails, nor do they pick up their phones.

BOSE!!!!! DO SOMETHING ABOUT YOUR CUSTOMER CARE IN INDIA.",
,"Audio quality is excellent but terrible connectivity and call quality. I am not sure if it is something to do with iPhones. I used Sony xm5 and. AirPods Pro 2. Sony has amazing features and audio for music and calling but poor fit. So I moved to AirPods . They have excellent fit but not so great audio quality for listening music. After using all the 3 I can easily conclude that AirPods Pro 2 are the best if you are someone who use earphones for different situations like workouts, office calls or listening music casually",
,"It has only one day of purchasing Ultra Bluetooth earbuds , there are serious connections issues on this ear bud , reached to customer care of Amazon who have conveniently shrugged off to Bose customer care.
Battery life of buds also drains very quickly.
Don’t buy.",
