type,author,rating,title,content,date,verified,Tweets,,,,,,
local,Dr. ANAMIKA,5,Next level sound experience,"Very handy in built and smooth to fit in palm like a charm. The sound is great, donot confuse with loud. Its precise. The app support is very pro. ANC works great and easy to change over to. Tap can be customized as per need and preferences. Find my buds is another superb feature to find missing buds. Mic quality is beyond comparison.  Worth the hype. ",Reviewed in India on 9 March 2025,Verified Purchase,RT @gonoise: The wait is over. Noise Master Buds is here. ____,,,,,,
local,R S Nishit,4,Decent TWS in this Price Segment,Audio quality is very balanced and people who prefer more bass might be but disappointed as this not too noisy. Very light weight and comfortable fit. Noise did a good job by Collaborating with Bose. Value for money as this comes with bank offer and a great discount. Bluetooth connectivity is too quick and can pair with two devices at one go. Customisation in the app is super helpful. ANC and spatial audio Functionality is top-notch. 4 star is because of No Dolby Audio technology. Battery back up is too good and comes with super fast charge. Design and build type is worth spending as it comes with the retro dial shape design with an LED status bar. ,Reviewed in India on 8 March 2025,Verified Purchase,"Expertly tuned audio with Sound by Bose, powered by the smartest audio tech, a…",,,,,,
local,Karan Kapoor,5,a surprising winner,"The Noise Master Buds genuinely surprised me ‚Äî and in the best way possible. Noise partnering with Bose for sound tuning really shows in the final product. I honestly didn't expect this level of sound quality from an Indian brand in this price range, but the audio clarity and balance are top-notch. The bass feels deep without overpowering, mids are clean, and the highs are crisp. Whether you're listening to music or watching a movie, the sound feels immersive and natural. The Active Noise Cancellation (ANC) is another highlight ‚Äî it can cut out a surprising amount of background noise. Noise claims up to 49dB of noise cancellation, and while I haven't measured it, the performance feels on par with some higher-end earbuds. Even in crowded environments, the buds block out most distractions, making them perfect for travel or work. The design is sleek and minimal, with a comfortable fit that doesn't cause ear fatigue even after hours of use. The touch controls are responsive, and I love how you can customize them through the Noise Audio App. Battery life is impressive too ‚Äî I got close to the claimed 44 hours with the case, and the buds last around 8 hours on a single charge. The dual device pairing feature is super convenient, letting me switch between my laptop and phone without any hassle. Overall, the Noise Master Buds feel like a big step forward for Indian audio brands. With Bose's tuning and solid features like ANC, spatial audio, and LDHC support, they easily compete with more expensive options. ",Reviewed in India on 8 March 2025,Verified Purchase,"So many of you have shared your Master moments with us—and we’re loving them! If you missed out on the Noise Master Buds, now’s your chance.",,,,,,
local,Rohit Singh,5,Highly quality and highly recommended!,"Amazing sound quality with perfect base, high and mids. Earbuds quality is amazing with sturdy and finished product. Connects very smoothly with android and iOS. Super fast charging and very long battery life of the buds and along with the case, it is extremely well. Very well built and design to fit your hands perfectly. Definitely value for money and highly recommended. ",Reviewed in India on 2 March 2025,Verified Purchase,"Pre-book today. Sale 2 starts 12th March, 12 PM.",,,,,,
local,nitin,5,Every bit is impressive.,The media could not be loaded. A world class performing master bud by Noise + bose. Its design and packaging makes the first look impressive. Its unboxing and calibration is quite simple and hassle free. It is light weight and comfortable fit in ear. I mainly choose this buds for superb ANC because I love to travel but ignore the surrounding during journey. This earbuds is so smart that it can separate the human voice from traffic or other disturbing noise. Its sound quality is clear and delivers the vocals perfectly. ,Reviewed in India on 8 March 2025,Verified Purchase,- Immersive Spatial Audio for 3D sound,,,,,,
local,Raktim Saikia,5,Good looking Earbud,"Got this earbud on amazon while randomly searching for Bose earbuds, As Bose is my favorite brand for audio, I can't afford it due to the high price, so I want to try these buds which is sound by Bose and also in affordable price after coupon and bank discount. This earbud did the same which I was expecting while ordering the product the sounds and vocals are really super clear, and bass is also well-balanced battery backup and noise cancellation are also great. The noise audio app is really useful for all controls and UI is really great. I never expect Noice will make such a comfortable and light weight earbud in this price. Really happy with my purchase thanks amazon for recommending me this earbud. ",Reviewed in India on 7 March 2025,Verified Purchase,"Noise Master Buds, Sound by Bose in-Ear Bluetooth Earbuds, Up to 49dB Adaptive ANC, LHDC 5.0, Immersive Spatial Audio, 44H Playtime with 6 mic ENC, Dual Pairing, IPX5 Ear Buds TWS (Titanium) https://t.co/xW1Q1pHflY",,,,,,
local,Bhushan Bobade,4,Good product,"Value for money, decent noise cancellation, Build quality could have been better for this price range, facing Noise master bud app connectivity issues sometimes but overall good performance and quality sound for music listeners. ",Reviewed in India on 9 March 2025,Verified Purchase,@dashman207 We're thrilled to hear that you're enjoying the Master Buds and finding them to be a great value for money! Thanks for choosing NOISE and providing us with your feedback. Enjoy the sound experience!,,,,,,
local,Ganesh,3,"Great Sound & Premium Design, but Disappointing Build Quality","I recently tried these earbuds, and while they have some strong points, they also come with a major drawback. Pros: ‚Ä¢ The sound quality is good, delivering clear audio with decent bass and crisp highs. Whether for music or calls, the performance was satisfactory. ‚Ä¢ The design looks premium, with a sleek and stylish finish that gives them a high-end feel. Cons: ‚Ä¢ The build quality is very poor. The materials feel flimsy, and they don‚Äôt seem durable enough for long-term use. After a short period, I noticed signs of wear and potential durability issues. Overall, if you prioritize sound and aesthetics, these might work for you. However, if durability is a concern, you might want to consider other options. Rating: 3/5. ",Reviewed in India on 1 March 2025,Verified Purchase,@iamsuhel05 @gonoise This Master buds by Noise are dear to your pocket compared to AirPods… I felt good,,,,,,
local,Singh,1,not good,"Third class product very cheap, very low quality and too much budget. It should be for 1000 or 2000 ‚Çπ8000 is a very big number for this type of products which has very low quality. Very cheap sound. Actually we can say not a clear sound, and also I wanted to return this product, but they are not taking it back. This is very wrong. They should take the product return if customer doesn‚Äôt like it because very, very cheap quality very low quality and not clear sound too much sound. Because of that we can‚Äôt get clear sound after doing all sound settings and it doesn‚Äôt fit also properly because of that my ear started paining. You can‚Äôt wear it for half an hour also so do not buy this product very cheap and also they don‚Äôt take return product, so please be careful before buying this cheap product.",Reviewed in India on 1 March 2026,Verified Purchase,"- Dual pairing, IPX5 water resistance, &amp; Titanium color",,,,,,
local,_Nikhil,2,"Very low quality product, and I want my money back.","Third class product very cheap, very low quality and too much budget. It should be for 1000 or 2000 _8000 is a very big number for this type of products which has very low quality. Very cheap sound. Actually we can say not a clear sound, and also I wanted to return this product, but they are not taking it back. This is very wrong. They should take the product return if customer doesn’t like it because very, very cheap quality very low quality and not clear sound too much sound. Because of that we can’t get clear sound after doing all sound settings and it doesn’t fit also properly because of that my ear started paining. You can’t wear it for half an hour also so do not buy this product very cheap and also they don’t take return product, so please be careful before buying this cheap product.",,Verified Purchase,"#Case look is good, but lid magnet strength and the plastic grade they are using are not good.",,,,,,
local,Singh,3, Think 4 to times before making the purchase,"It is good option to buy it under 5k, but if anyone like me going to pay 8000 for it, please don't as their are many other options in good reliable brands.",,Verified Purchase,"# It has ans but not like orignal bose ear buds, even worse then my old one plus earbudZ 2.",,,,,,
local,Vinay Gupta,2,Neither does the buds feel comfortable on the ears.,"# Their is option of finding earbud if someone accidentally dropped it, but it doesn't work at all.",,Verified Purchase,,,,,,,
local,Shailesh,1,Hope this review will going to help you.,"In last IF YOU WANT TO MAKE A RETURN THE PRODUCT AND ASK THEM FOR RETURN THEY WILL NOT GOING TO DO THAT. Amazon will going to say it is the matter of company not us, and company will going to refuse.",,Verified Purchase,,,,,,,
local,ram,1,Hope this review will going to help you.,"In last IF YOU WANT TO MAKE A RETURN THE PRODUCT AND ASK THEM FOR RETURN THEY WILL NOT GOING TO DO THAT. Amazon will going to say it is the matter of company not us, and company will going to refuse.",,Verified Purchase,,,,,,,
local,Shantanu R.,3,Definitely not worth the hype,"Good Marketing doesn’t sell a bad product. After all the hype and glitz with pre-booking and fanfare, I received the product today and within the first hour I want to return it. If you are thinking of receiving calls on this device, you’ll be terribly disappointed as the quality of sound is so bad, so bad, that you’ll find it easier to take calls without the ear buds.",,Verified Purchase,,,,,,,
local,VG,1,Worthless,POOR QUALITY! Not sure why BOSE would tie up with these nincompoops. These ear buds are not even worth half the price they are being sold at. The only thing good is probably the looks and that is all. The problem started with the launch itself where they wrongly represented the discounts. Then you have no choice to return these but only exchange them. They clearly know that their product is bad & that is why they need to do all these theatrics. Stay away from the NOISE!,,Verified Purchase,,,,,,,
local,varun,3,,"Trying to return the product, but facing issues with Amazon Returns. Hope I’ll be able to return it.",,Verified Purchase,,,,,,,
local,Srikanth,4,Disappointing performance,"Disappointed with the product. The sound quality is not that great, may be because of the poor quality of the product material or the ear buds material quality. Not comfortable and for sure the ANC sucks. If I compare with my Jabra 7, any day Jabra 7 is way ahead of this for almost the same price",,Verified Purchase,,,,,,,
local,Vinay Gupta,1,Not at all worth it,"If you are listening music or attending a call with noise master buds, the person next or near you can easily hear what you are listening",,Verified Purchase,,,,,,,
